Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.33,-1.86,-2.99,-0.68,-0.03,0.18
10.34,-1.72,-2.47,-0.64,0.09,0.2
12.22,-1.49,-0.4,-0.22,-0.26,-0.57
11.0,-2.94,0.15,-0.11,-0.28,-0.61
9.4,-2.44,0.07,-0.59,0.43,0.09
10.13,-2.04,0.08,-0.53,0.44,0.08
10.01,-1.76,0.99,-0.28,0.17,-0.0
9.74,-2.59,0.78,-0.25,0.25,0.1
11.35,-2.37,-0.76,0.2,-0.07,0.02
11.26,-2.22,-0.23,0.61,-0.34,0.14
9.22,-2.76,0.04,0.6,-0.02,0.3
9.42,-3.06,-0.09,0.53,0.2,0.22
9.3,-2.89,0.27,0.62,0.0,0.05
9.83,-3.4,0.11,0.5,-0.01,-0.16
10.53,-3.08,-0.76,0.35,-0.1,-0.13
9.8,-3.03,-1.01,0.29,-0.26,-0.06
9.57,-3.16,-1.34,0.27,-0.3,-0.12
9.91,-3.25,-1.47,0.22,-0.4,-0.13
9.7,-3.29,-1.85,0.1,-0.49,-0.03
9.34,-3.62,-1.67,-0.01,-0.44,0.16
13.89,-5.07,0.97,0.14,0.0,0.37
10.15,-2.46,-0.38,-0.25,-0.26,0.68
8.9,-2.54,-1.03,0.5,-0.3,-0.07
9.24,-4.43,1.37,0.42,0.23,0.14
10.3,-2.42,0.46,0.23,-0.03,-0.12
10.75,-1.1,-0.27,0.7,-0.38,-0.1
9.58,-3.88,0.87,0.74,-0.35,0.08
10.5,-4.19,0.1,0.53,-0.22,-0.04
10.65,-3.51,-0.37,0.28,-0.4,-0.29
9.76,-3.1,-0.46,0.26,-0.4,-0.39
9.75,-2.58,-0.41,0.34,-0.36,-0.36
9.98,-3.02,-0.19,0.32,-0.3,-0.24
10.06,-2.87,-0.1,0.29,-0.21,-0.14
10.15,-2.89,-0.48,0.25,-0.22,-0.15
9.86,-2.46,-0.49,0.21,-0.1,-0.15
10.11,-2.24,-0.59,0.37,-0.01,-0.15
10.44,-2.08,-0.6,0.54,-0.05,-0.13
10.41,-2.4,-0.13,0.61,-0.1,-0.14
10.31,-2.68,-0.05,0.61,-0.11,-0.13
10.13,-3.36,0.1,0.54,-0.03,-0.06
10.52,-4.17,0.27,0.39,-0.09,-0.12
9.16,-3.9,-0.58,-0.02,-0.01,-0.1
10.77,-1.52,-0.77,-0.09,0.25,-0.15
9.6,-2.83,0.1,-0.06,0.24,-0.23
8.68,-3.43,-0.13,-0.3,0.25,-0.34
10.72,-1.88,-1.92,-0.13,0.02,-0.52
11.11,-3.2,-1.62,-0.24,-0.23,-0.2
10.27,-3.18,-1.98,-0.29,-0.16,0.05
10.0,-3.41,-1.79,-0.19,-0.01,0.15
9.32,-3.0,-0.93,-0.18,0.1,0.16
9.62,-3.1,-0.79,-0.19,0.28,0.14
9.84,-2.33,-1.22,-0.08,0.14,-0.04
9.8,-2.87,-1.25,-0.05,0.2,-0.03
9.98,-2.95,-1.24,-0.06,0.25,-0.02
9.55,-3.18,-1.32,-0.16,0.22,0.06
9.61,-3.37,-1.56,-0.27,0.19,0.08
9.91,-3.06,-1.57,-0.3,0.09,0.13
9.83,-3.19,-1.55,-0.22,0.14,0.24
10.69,-3.88,-1.65,0.05,0.19,0.25
10.57,-5.3,-2.27,0.1,-0.11,0.18
11.81,-5.5,0.48,-0.21,0.43,0.34
9.67,-4.93,1.85,-0.97,0.58,0.21
9.65,-0.54,2.03,-0.35,0.07,-0.38
11.16,-2.53,1.12,-0.22,-0.09,0.07
10.02,-4.37,0.59,-0.5,-0.18,-0.23
8.91,-1.85,-0.44,-0.24,-0.25,-0.47
9.27,-2.97,-0.74,-0.21,-0.15,-0.43
8.92,-2.26,-1.43,-0.19,-0.33,-0.37
8.5,-1.69,-1.76,0.07,-0.21,-0.31
9.62,-2.16,-2.04,0.05,-0.15,-0.13
10.26,-2.61,-2.19,-0.2,-0.24,0.03
11.62,-1.98,-2.6,-0.27,0.04,-0.05
11.19,-3.97,-4.28,-0.57,-0.17,-0.25
